issue_date,target_report_date,update_id,checkpoint_id,iz_code,node_index,anchor_rate_y_t,predicted_delta,predicted_rate,predicted_variance,predicted_sigma,calibrated80_lower,calibrated80_upper,calibrated95_lower,calibrated95_upper,uncertainty_flag,alpha_geo,alpha_transport,alpha_mobility,node_order_hash,forecast_status,observed_target_available,include_in_metrics,observed_rate,model_error,model_absolute_error,persistence_prediction,persistence_absolute_error
2023-02-25,2023-03-04,U10,U10,S02001576,0,50.61582588155897,-5.805332183837891,44.81049369772108,3424.0615234375,58.51548004150391,16.952491988736703,72.66849540670546,-3.2500455478843904,92.87103294332655,high,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001577,1,16.07200257152041,8.166958808898926,24.238961380419337,2208.245849609375,46.991973876953125,1.867060821947657,46.61086193889102,-14.356974441113866,62.83489720195254,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001578,2,28.538812785388128,7.148870468139648,35.68768325352778,3190.871337890625,56.48779678344727,8.795019297839303,62.58034720921626,-10.70745834803472,82.08282485509028,high,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001579,3,23.16423442205235,11.65872859954834,34.822963021600685,2633.52978515625,51.31792831420898,10.391566537225684,59.254359505975685,-7.326008536016502,76.97193457921787,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001580,4,21.017234131988232,13.501188278198242,34.518422410186474,2306.23828125,48.02330780029297,11.655526444610302,57.381318375762646,-4.924578383270557,73.9614232036435,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001581,5,22.09456473707468,12.220748901367188,34.315313638441864,2507.2958984375,50.07290267944336,10.476648629896944,58.15397864698679,-6.811082540757354,75.44170981764108,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001582,6,28.04262478968032,26.46051025390625,54.50313504358657,3550.93603515625,59.58972930908203,26.133706408943013,82.87256367823012,5.56027920862563,103.4459908785475,high,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001583,7,21.45002145002145,25.19432640075684,46.64434785077829,2991.004638671875,54.6900749206543,20.607541744210906,72.68115395734567,1.7257267875458666,91.56296891401072,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001584,8,26.1780104712042,17.42376708984375,43.601777561047946,3356.7900390625,57.93780899047852,16.018794544080173,71.18476057801573,-3.984304897448148,91.18786001954405,high,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
2023-02-25,2023-03-04,U10,U10,S02001585,9,31.83699458771092,15.850936889648438,47.68793147735936,2791.447021484375,52.83414840698242,22.5346950881992,72.84116786651951,4.293640553287091,91.08222240143162,normal,0.3181084990501404,0.3234014213085174,0.3584901392459869,8f625000ca42af45709b4e887a429c93971443f30f2fbddbe07863342ca16d34,unverified_extrapolation,False,False,,,,,
