issue_date,target_report_date,update_id,checkpoint_id,iz_code,component,feature_name,shapley_value,predicted_rate,reconstructed_prediction,additivity_error,alpha_geo,alpha_transport,alpha_mobility,explanation_scope
2023-02-25,2023-03-04,U10,U10,S02001576,baseline,baseline,35.615941276151254,44.81049703558119,44.81049703558119,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001576,main,income_deprivation,-0.9029298646109614,44.81049703558119,44.81049703558119,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001576,main,employment_deprivation,-0.0547774178641269,44.81049703558119,44.81049703558119,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001576,main,higher_education,-1.700416678474076,44.81049703558119,44.81049703558119,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001576,main,overcrowding,-0.0566231273469499,44.81049703558119,44.81049703558119,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001576,main,crime,0.0088448660714337,44.81049703558119,44.81049703558119,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001576,main,public_transport_time_to_gp,9.075723470960384,44.81049703558119,44.81049703558119,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001576,location,location,-2.8758125554947767,44.81049703558119,44.81049703558119,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001576,location_interaction,location_x_income_deprivation,0.2814906687963793,44.81049703558119,44.81049703558119,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001576,location_interaction,location_x_employment_deprivation,-0.0897051164081998,44.81049703558119,44.81049703558119,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001576,location_interaction,location_x_higher_education,2.0767335187821336,44.81049703558119,44.81049703558119,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001576,location_interaction,location_x_overcrowding,-1.6464131105513762,44.81049703558119,44.81049703558119,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001576,location_interaction,location_x_crime,-0.200395201501397,44.81049703558119,44.81049703558119,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001576,location_interaction,location_x_public_transport_time_to_gp,5.278836307071464,44.81049703558119,44.81049703558119,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001577,baseline,baseline,27.43360440104922,24.238970917162504,24.238970917162504,3.552713678800501e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001577,main,income_deprivation,-1.1180279277619891,24.238970917162504,24.238970917162504,3.552713678800501e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001577,main,employment_deprivation,-0.7098169508434516,24.238970917162504,24.238970917162504,3.552713678800501e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001577,main,higher_education,0.1022890862964445,24.238970917162504,24.238970917162504,3.552713678800501e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001577,main,overcrowding,-0.1671522640046624,24.238970917162504,24.238970917162504,3.552713678800501e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001577,main,crime,-0.4207751455761127,24.238970917162504,24.238970917162504,3.552713678800501e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001577,main,public_transport_time_to_gp,1.0293690817696772,24.238970917162504,24.238970917162504,3.552713678800501e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001577,location,location,-2.1715023267836897,24.238970917162504,24.238970917162504,3.552713678800501e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001577,location_interaction,location_x_income_deprivation,-0.9330933934166274,24.238970917162504,24.238970917162504,3.552713678800501e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001577,location_interaction,location_x_employment_deprivation,-0.1099631990705154,24.238970917162504,24.238970917162504,3.552713678800501e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001577,location_interaction,location_x_higher_education,0.069479524521604,24.238970917162504,24.238970917162504,3.552713678800501e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001577,location_interaction,location_x_overcrowding,-1.151797728311446,24.238970917162504,24.238970917162504,3.552713678800501e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001577,location_interaction,location_x_crime,-0.4154165631248834,24.238970917162504,24.238970917162504,3.552713678800501e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001577,location_interaction,location_x_public_transport_time_to_gp,2.8017743224189338,24.238970917162504,24.238970917162504,3.552713678800501e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001578,baseline,baseline,39.09279456639399,35.68768659138789,35.68768659138789,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001578,main,income_deprivation,-1.1207059519631557,35.68768659138789,35.68768659138789,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001578,main,employment_deprivation,-0.111134701683404,35.68768659138789,35.68768659138789,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001578,main,higher_education,-1.055146914436708,35.68768659138789,35.68768659138789,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001578,main,overcrowding,-0.1347215947650726,35.68768659138789,35.68768659138789,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001578,main,crime,0.0359572115398585,35.68768659138789,35.68768659138789,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001578,main,public_transport_time_to_gp,0.7065599305289167,35.68768659138789,35.68768659138789,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001578,location,location,-2.6954779465993344,35.68768659138789,35.68768659138789,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001578,location_interaction,location_x_income_deprivation,0.2450650669279604,35.68768659138789,35.68768659138789,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001578,location_interaction,location_x_employment_deprivation,-0.0374269826071635,35.68768659138789,35.68768659138789,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001578,location_interaction,location_x_higher_education,0.2471569038572825,35.68768659138789,35.68768659138789,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001578,location_interaction,location_x_overcrowding,-0.0348551931835331,35.68768659138789,35.68768659138789,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001578,location_interaction,location_x_crime,-0.0968780699230354,35.68768659138789,35.68768659138789,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001578,location_interaction,location_x_public_transport_time_to_gp,0.6465002673012852,35.68768659138789,35.68768659138789,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001579,baseline,baseline,35.94719722112461,34.822942040765724,34.822942040765724,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001579,main,income_deprivation,-1.223504234495622,34.822942040765724,34.822942040765724,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001579,main,employment_deprivation,-0.2158990950811482,34.822942040765724,34.822942040765724,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001579,main,higher_education,-0.796467249734064,34.822942040765724,34.822942040765724,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001579,main,overcrowding,-0.3880897294907362,34.822942040765724,34.822942040765724,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001579,main,crime,0.0630356062026262,34.822942040765724,34.822942040765724,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001579,main,public_transport_time_to_gp,1.902483772096188,34.822942040765724,34.822942040765724,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001579,location,location,-1.7695668629237653,34.822942040765724,34.822942040765724,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001579,location_interaction,location_x_income_deprivation,-0.2452393531799249,34.822942040765724,34.822942040765724,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001579,location_interaction,location_x_employment_deprivation,-0.0379599253336573,34.822942040765724,34.822942040765724,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001579,location_interaction,location_x_higher_education,-0.1106883366902623,34.822942040765724,34.822942040765724,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001579,location_interaction,location_x_overcrowding,-0.470941162109372,34.822942040765724,34.822942040765724,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001579,location_interaction,location_x_crime,-0.1963413556416833,34.822942040765724,34.822942040765724,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001579,location_interaction,location_x_public_transport_time_to_gp,2.364922746022534,34.822942040765724,34.822942040765724,0.0,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001580,baseline,baseline,38.621043488677685,34.51842622488375,34.51842622488375,7.105427357601002e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001580,main,income_deprivation,-1.2171944572812066,34.51842622488375,34.51842622488375,7.105427357601002e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001580,main,employment_deprivation,-0.325098001389277,34.51842622488375,34.51842622488375,7.105427357601002e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001580,main,higher_education,-0.4232936177934929,34.51842622488375,34.51842622488375,7.105427357601002e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001580,main,overcrowding,-0.7449385597592305,34.51842622488375,34.51842622488375,7.105427357601002e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001580,main,crime,-0.0531406675066276,34.51842622488375,34.51842622488375,7.105427357601002e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001580,main,public_transport_time_to_gp,0.211768250238332,34.51842622488375,34.51842622488375,7.105427357601002e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001580,location,location,-3.507087789263056,34.51842622488375,34.51842622488375,7.105427357601002e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001580,location_interaction,location_x_income_deprivation,0.1520169984726737,34.51842622488375,34.51842622488375,7.105427357601002e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001580,location_interaction,location_x_employment_deprivation,0.0661387852260079,34.51842622488375,34.51842622488375,7.105427357601002e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
2023-02-25,2023-03-04,U10,U10,S02001580,location_interaction,location_x_higher_education,1.8516632806687168,34.51842622488375,34.51842622488375,7.105427357601002e-15,0.3181084990501404,0.32340142130851746,0.35849013924598694,target_iz_local
